,Time(sec),PID,PNAME,CPU(%),NUM THREADS,MEMORY(MB),MEMORY(%),read_count,write_count,read_bytes,write_bytes
0,0.08238577842712402,0,Total,34.31,8,0.008,0.0,0,0,0,0
1,0.08238577842712402,8692,powershell.exe,12.85,26,131.672,0.82,408,2,2724868,120
2,0.08238577842712402,18244,python.exe,9.57,17,87.598,0.54,1453,3,14682932,492
3,0.08238577842712402,6508,Zoom.exe,3.12,75,359.777,2.23,4232,1577,69880307,214874
4,0.08238577842712402,4988,MsMpEng.exe,1.98,22,183.758,1.14,582415,10110,14291368908,416944383
5,0.08238577842712402,4672,SentinelAgent.exe,1.65,65,389.488,2.42,89646,397417,342653232,3870691503
6,0.08238577842712402,16816,WmiPrvSE.exe,0.42,10,18.469,0.11,1,0,10599,0
7,0.08238577842712402,14816,audiodg.exe,0.40,9,60.359,0.37,4,0,11945,0
8,0.08238577842712402,1392,dwm.exe,0.25,15,121.926,0.76,146258,0,1534672,0
9,0.08238577842712402,17792,chrome.exe,0.00,18,170.555,1.06,17833,19996,12981343,9407914
10,0.08238577842712402,17740,chrome.exe,0.00,18,108.398,0.67,9555,6628,9616530,4019170
11,0.08238577842712402,17540,chrome.exe,0.00,17,51.199,0.32,2915,2853,2554908,2274200
12,0.08238577842712402,17252,chrome.exe,0.00,18,46.844,0.29,3807,433,1803540,162632
13,0.08238577842712402,17208,chrome.exe,0.00,18,82.539,0.51,2315,3069,1389524,3370018
14,0.08238577842712402,16480,CptHost.exe,0.00,9,33.816,0.21,177,0,11550709,0
15,0.08238577842712402,16248,chrome.exe,0.00,18,94.977,0.59,13034,9453,8814619,5415710
16,0.08238577842712402,16140,chrome.exe,0.00,17,59.102,0.37,1018,815,500748,156688
17,0.08238577842712402,16008,chrome.exe,0.00,18,95.039,0.59,29996,33183,10995438,61057466
18,0.08238577842712402,15896,svchost.exe,0.00,5,16.152,0.1,17,17,1828,2456
19,0.08238577842712402,15872,msedge.exe,0.00,8,11.188,0.07,21,15,1424,180
20,0.08238577842712402,15824,svchost.exe,0.00,4,11.750,0.07,1,0,4931,0
21,1.9054510593414307,0,Total,26.44,8,0.008,0.0,0,0,0,0
22,1.9054510593414307,4988,MsMpEng.exe,12.49,22,184.434,1.15,582415,10110,14291368908,416944383
23,1.9054510593414307,18244,python.exe,9.39,17,87.656,0.54,1453,3,14682932,492
24,1.9054510593414307,6508,Zoom.exe,1.56,75,359.781,2.23,4232,1577,69880307,214874
25,1.9054510593414307,17792,chrome.exe,0.00,18,170.555,1.06,17840,20003,12982223,9409074
26,1.9054510593414307,17740,chrome.exe,0.00,18,108.398,0.67,9555,6628,9616530,4019170
27,1.9054510593414307,17540,chrome.exe,0.00,17,51.199,0.32,2915,2853,2554908,2274200
28,1.9054510593414307,17252,chrome.exe,0.00,18,46.844,0.29,3807,433,1803540,162632
29,1.9054510593414307,17208,chrome.exe,0.00,18,82.539,0.51,2315,3069,1389524,3370018
30,1.9054510593414307,16816,WmiPrvSE.exe,0.00,10,18.469,0.11,1,0,10599,0
31,1.9054510593414307,16480,CptHost.exe,0.00,9,33.816,0.21,177,0,11550709,0
32,1.9054510593414307,16248,chrome.exe,0.00,18,94.977,0.59,13034,9453,8814619,5415710
33,1.9054510593414307,16140,chrome.exe,0.00,17,59.102,0.37,1018,815,500748,156688
34,1.9054510593414307,16008,chrome.exe,0.00,18,95.039,0.59,29996,33183,10995438,61057466
35,1.9054510593414307,15896,svchost.exe,0.00,5,16.152,0.1,17,17,1828,2456
36,1.9054510593414307,15872,msedge.exe,0.00,8,11.188,0.07,21,15,1424,180
37,1.9054510593414307,15824,svchost.exe,0.00,4,11.750,0.07,1,0,4931,0
38,1.9054510593414307,15712,chrome.exe,0.00,22,118.363,0.73,11005,7883,11235172,3991732
39,1.9054510593414307,15688,chrome.exe,0.00,20,137.117,0.85,9178,13164,4728611,6792393
40,1.9054510593414307,15640,svchost.exe,0.00,2,11.645,0.07,0,0,0,0
41,1.9054510593414307,15496,chrome.exe,0.00,18,78.840,0.49,8396,9707,3235191,7696773
42,3.5943729877471924,0,Total,33.51,8,0.008,0.0,0,0,0,0
43,3.5943729877471924,4988,MsMpEng.exe,12.50,22,186.848,1.16,582908,10110,14298285628,416944383
44,3.5943729877471924,18244,python.exe,9.36,17,87.754,0.54,1453,3,14682932,492
45,3.5943729877471924,6508,Zoom.exe,3.04,76,359.805,2.23,4232,1578,69880307,214952
46,3.5943729877471924,4,System,0.94,265,13.520,0.08,1506,8418,229455803,562000943
47,3.5943729877471924,1392,dwm.exe,0.76,15,112.395,0.7,146258,0,1534672,0
48,3.5943729877471924,1156,dptf_helper.exe,0.50,5,7.953,0.05,1,220,0,216611
49,3.5943729877471924,14816,audiodg.exe,0.42,9,60.359,0.37,4,0,11945,0
50,3.5943729877471924,13512,svchost.exe,0.42,13,35.664,0.22,947,0,3882202,0
51,3.5943729877471924,8692,powershell.exe,0.39,25,131.910,0.82,408,2,2724868,120
52,3.5943729877471924,2764,svchost.exe,0.30,9,11.090,0.07,0,0,0,0
53,3.5943729877471924,17792,chrome.exe,0.00,18,170.555,1.06,17840,20003,12982223,9409074
54,3.5943729877471924,17740,chrome.exe,0.00,18,108.398,0.67,9555,6628,9616530,4019170
55,3.5943729877471924,17540,chrome.exe,0.00,17,51.199,0.32,2915,2853,2554908,2274200
56,3.5943729877471924,17252,chrome.exe,0.00,18,46.844,0.29,3807,433,1803540,162632
57,3.5943729877471924,17208,chrome.exe,0.00,18,82.539,0.51,2315,3069,1389524,3370018
58,3.5943729877471924,16816,WmiPrvSE.exe,0.00,10,18.473,0.11,1,0,10599,0
59,3.5943729877471924,16480,CptHost.exe,0.00,9,33.816,0.21,177,0,11550709,0
60,3.5943729877471924,16248,chrome.exe,0.00,18,94.977,0.59,13034,9453,8814619,5415710
61,3.5943729877471924,16140,chrome.exe,0.00,17,59.102,0.37,1018,815,500748,156688
62,3.5943729877471924,16008,chrome.exe,0.00,18,95.035,0.59,29996,33183,10995438,61057466
63,5.384236097335815,0,Total,27.09,8,0.008,0.0,0,0,0,0
64,5.384236097335815,4988,MsMpEng.exe,11.79,22,187.945,1.17,583239,10111,14306102565,416944472
65,5.384236097335815,18244,python.exe,9.46,17,87.875,0.55,1453,3,14682932,492
66,5.384236097335815,14988,conhost.exe,0.42,2,17.953,0.11,0,0,0,0
67,5.384236097335815,8692,powershell.exe,0.38,25,131.926,0.82,408,2,2724868,120
68,5.384236097335815,660,lsass.exe,0.25,9,23.207,0.14,6529,3672,546254,630666
69,5.384236097335815,17792,chrome.exe,0.00,18,170.547,1.06,17840,20003,12982223,9409074
70,5.384236097335815,17740,chrome.exe,0.00,17,108.383,0.67,9555,6628,9616530,4019170
71,5.384236097335815,17540,chrome.exe,0.00,16,51.184,0.32,2915,2853,2554908,2274200
72,5.384236097335815,17252,chrome.exe,0.00,17,46.828,0.29,3807,433,1803540,162632
73,5.384236097335815,17208,chrome.exe,0.00,17,82.523,0.51,2315,3069,1389524,3370018
74,5.384236097335815,16816,WmiPrvSE.exe,0.00,10,18.473,0.11,1,0,10599,0
75,5.384236097335815,16480,CptHost.exe,0.00,9,33.816,0.21,177,0,11550709,0
76,5.384236097335815,16248,chrome.exe,0.00,17,94.961,0.59,13034,9453,8814619,5415710
77,5.384236097335815,16140,chrome.exe,0.00,16,59.086,0.37,1018,815,500748,156688
78,5.384236097335815,16008,chrome.exe,0.00,17,95.020,0.59,29996,33183,10995438,61057466
79,5.384236097335815,15896,svchost.exe,0.00,5,16.152,0.1,17,17,1828,2456
80,5.384236097335815,15872,msedge.exe,0.00,8,11.188,0.07,21,15,1424,180
81,5.384236097335815,15824,svchost.exe,0.00,4,11.750,0.07,1,0,4931,0
82,5.384236097335815,15712,chrome.exe,0.00,21,118.348,0.73,11005,7883,11235172,3991732
83,5.384236097335815,15688,chrome.exe,0.00,20,137.117,0.85,9178,13164,4728611,6792393
84,7.150065660476685,0,Total,27.76,8,0.008,0.0,0,0,0,0
85,7.150065660476685,4988,MsMpEng.exe,12.53,22,187.961,1.17,583579,10111,14315382261,416944472
86,7.150065660476685,18244,python.exe,9.57,17,88.152,0.55,1453,3,14682932,492
87,7.150065660476685,6508,Zoom.exe,0.74,76,359.809,2.23,4232,1579,69880307,215030
88,7.150065660476685,4672,SentinelAgent.exe,0.68,65,390.527,2.42,89646,397563,342653232,3871441692
89,7.150065660476685,14816,audiodg.exe,0.41,9,60.359,0.37,4,0,11945,0
90,7.150065660476685,13512,svchost.exe,0.40,13,35.434,0.22,947,0,3882202,0
91,7.150065660476685,17792,chrome.exe,0.00,18,170.547,1.06,17840,20003,12982223,9409074
92,7.150065660476685,17740,chrome.exe,0.00,17,108.383,0.67,9555,6628,9616530,4019170
93,7.150065660476685,17540,chrome.exe,0.00,16,51.184,0.32,2915,2853,2554908,2274200
94,7.150065660476685,17252,chrome.exe,0.00,17,46.828,0.29,3807,433,1803540,162632
95,7.150065660476685,17208,chrome.exe,0.00,17,82.523,0.51,2315,3069,1389524,3370018
96,7.150065660476685,16816,WmiPrvSE.exe,0.00,10,18.477,0.11,1,0,10599,0
97,7.150065660476685,16480,CptHost.exe,0.00,9,33.816,0.21,177,0,11550709,0
98,7.150065660476685,16248,chrome.exe,0.00,17,94.961,0.59,13034,9453,8814619,5415710
99,7.150065660476685,16140,chrome.exe,0.00,16,59.086,0.37,1018,815,500748,156688
100,7.150065660476685,16008,chrome.exe,0.00,17,95.020,0.59,29996,33183,10995438,61057466
101,7.150065660476685,15896,svchost.exe,0.00,5,16.152,0.1,17,17,1828,2456
102,7.150065660476685,15872,msedge.exe,0.00,8,11.188,0.07,21,15,1424,180
103,7.150065660476685,15824,svchost.exe,0.00,4,11.750,0.07,1,0,4931,0
104,7.150065660476685,15712,chrome.exe,0.00,21,118.348,0.73,11005,7883,11235172,3991732
105,8.909741640090942,0,Total,34.61,8,0.008,0.0,0,0,0,0
106,8.909741640090942,4988,MsMpEng.exe,12.49,22,187.988,1.17,583579,10111,14315382261,416944472
107,8.909741640090942,18244,python.exe,9.39,17,88.359,0.55,1453,3,14682932,492
108,8.909741640090942,4672,SentinelAgent.exe,3.71,65,390.688,2.43,89650,397577,342653754,3871559259
109,8.909741640090942,6508,Zoom.exe,2.65,76,359.816,2.23,4232,1586,69880307,215204
110,8.909741640090942,4468,svchost.exe,0.99,17,24.199,0.15,10073,3143,82246028,26038980
111,8.909741640090942,2804,svchost.exe,0.88,10,10.910,0.07,22,0,9064,0
112,8.909741640090942,13512,svchost.exe,0.42,12,35.926,0.22,947,0,3882202,0
113,8.909741640090942,10096,chrome.exe,0.40,15,452.223,2.81,1305694,1265984,1487398228,493993156
114,8.909741640090942,8692,powershell.exe,0.39,25,131.969,0.82,408,2,2724868,120
115,8.909741640090942,1892,msedge.exe,0.28,35,95.266,0.59,18751,15108,36349687,57607758
116,8.909741640090942,1392,dwm.exe,0.25,15,112.395,0.7,146258,0,1534672,0
117,8.909741640090942,1248,svchost.exe,0.25,13,18.961,0.12,67,0,34304,0
118,8.909741640090942,1156,dptf_helper.exe,0.25,5,7.953,0.05,1,220,0,216611
119,8.909741640090942,4,System,0.24,265,13.520,0.08,1506,8421,229455803,562013231
120,8.909741640090942,17792,chrome.exe,0.00,18,170.547,1.06,17847,20010,12983103,9410234
121,8.909741640090942,17740,chrome.exe,0.00,17,108.383,0.67,9555,6628,9616530,4019170
122,8.909741640090942,17540,chrome.exe,0.00,16,51.184,0.32,2915,2853,2554908,2274200
123,8.909741640090942,17252,chrome.exe,0.00,17,46.828,0.29,3807,433,1803540,162632
124,8.909741640090942,17208,chrome.exe,0.00,17,82.523,0.51,2315,3069,1389524,3370018
125,8.909741640090942,16816,WmiPrvSE.exe,0.00,10,18.477,0.11,1,0,10599,0
126,10.69135856628418,0,Total,31.03,8,0.008,0.0,0,0,0,0
127,10.69135856628418,4988,MsMpEng.exe,9.56,22,188.270,1.17,583755,10112,14323025355,416944561
128,10.69135856628418,18244,python.exe,9.36,17,88.641,0.55,1453,3,14682932,492
129,10.69135856628418,6508,Zoom.exe,1.84,76,359.820,2.23,4232,1592,69880307,215300
130,10.69135856628418,644,services.exe,1.79,12,9.805,0.06,3,229,1140,104152
131,10.69135856628418,14988,conhost.exe,0.84,3,17.977,0.11,0,0,0,0
132,10.69135856628418,8692,powershell.exe,0.76,26,132.375,0.82,408,2,2724868,120
133,10.69135856628418,1392,dwm.exe,0.54,15,112.395,0.7,146258,0,1534672,0
134,10.69135856628418,13512,svchost.exe,0.42,12,35.914,0.22,947,0,3882202,0
135,10.69135856628418,4468,svchost.exe,0.34,17,24.203,0.15,10073,3143,82246028,26038980
136,10.69135856628418,4,System,0.25,265,13.520,0.08,1506,8421,229455803,562013231
137,10.69135856628418,17792,chrome.exe,0.00,18,170.547,1.06,17847,20010,12983103,9410234
138,10.69135856628418,17740,chrome.exe,0.00,17,108.383,0.67,9555,6628,9616530,4019170
139,10.69135856628418,17540,chrome.exe,0.00,16,51.184,0.32,2915,2853,2554908,2274200
140,10.69135856628418,17252,chrome.exe,0.00,17,46.828,0.29,3807,433,1803540,162632
141,10.69135856628418,17208,chrome.exe,0.00,17,82.523,0.51,2315,3069,1389524,3370018
142,10.69135856628418,16816,WmiPrvSE.exe,0.00,10,18.492,0.11,1,0,10599,0
143,10.69135856628418,16480,CptHost.exe,0.00,9,33.816,0.21,177,0,11550709,0
144,10.69135856628418,16248,chrome.exe,0.00,17,94.961,0.59,13034,9453,8814619,5415710
145,10.69135856628418,16140,chrome.exe,0.00,16,59.086,0.37,1018,815,500748,156688
146,10.69135856628418,16008,chrome.exe,0.00,17,95.020,0.59,29996,33183,10995438,61057466
147,12.42991328239441,0,Total,32.47,8,0.008,0.0,0,0,0,0
148,12.42991328239441,4988,MsMpEng.exe,12.88,22,188.273,1.17,583830,10112,14323128740,416944561
149,12.42991328239441,18244,python.exe,9.05,17,88.934,0.55,1453,3,14682932,492
150,12.42991328239441,6508,Zoom.exe,4.16,76,359.824,2.23,4232,1596,69880307,215426
151,12.42991328239441,14988,conhost.exe,0.84,3,17.977,0.11,0,0,0,0
152,12.42991328239441,4,System,0.49,265,13.520,0.08,1506,8421,229455803,562013231
153,12.42991328239441,14816,audiodg.exe,0.41,9,60.359,0.37,4,0,11945,0
154,12.42991328239441,11020,pycharm64.exe,0.40,114,1786.133,11.09,315472,33153,1172517772,868507364
155,12.42991328239441,7572,explorer.exe,0.38,82,197.352,1.23,56370,668,86348524,685305
156,12.42991328239441,7496,ctfmon.exe,0.38,12,23.859,0.15,25,0,32606,0
157,12.42991328239441,1392,dwm.exe,0.26,15,112.801,0.7,146258,0,1534672,0
158,12.42991328239441,976,csrss.exe,0.25,14,4.867,0.03,277878,0,7321422,0
159,12.42991328239441,17792,chrome.exe,0.00,18,170.570,1.06,17871,20039,12990167,9420802
160,12.42991328239441,17740,chrome.exe,0.00,17,108.383,0.67,9555,6628,9616530,4019170
161,12.42991328239441,17540,chrome.exe,0.00,16,51.184,0.32,2915,2853,2554908,2274200
162,12.42991328239441,17252,chrome.exe,0.00,17,46.828,0.29,3807,433,1803540,162632
163,12.42991328239441,17208,chrome.exe,0.00,17,82.523,0.51,2315,3069,1389524,3370018
164,12.42991328239441,16816,WmiPrvSE.exe,0.00,10,18.605,0.12,1,0,10599,0
165,12.42991328239441,16480,CptHost.exe,0.00,9,33.816,0.21,177,0,11550709,0
166,12.42991328239441,16248,chrome.exe,0.00,17,94.961,0.59,13034,9453,8814619,5415710
167,12.42991328239441,16140,chrome.exe,0.00,16,59.086,0.37,1018,815,500748,156688
168,14.370604753494263,0,Total,33.83,8,0.008,0.0,0,0,0,0
169,14.370604753494263,4988,MsMpEng.exe,12.07,22,188.344,1.17,584059,10113,14338071460,416977487
170,14.370604753494263,18244,python.exe,10.64,17,88.953,0.55,1453,3,14682932,492
171,14.370604753494263,6508,Zoom.exe,2.62,75,360.051,2.24,4232,1601,69880307,215568
172,14.370604753494263,13512,svchost.exe,1.02,12,35.539,0.22,947,0,3882202,0
173,14.370604753494263,8692,powershell.exe,0.69,25,167.898,1.04,408,2,2724868,120
174,14.370604753494263,1392,dwm.exe,0.59,15,115.914,0.72,146258,0,1534672,0
175,14.370604753494263,4,System,0.54,265,13.520,0.08,1506,8422,229455803,562017327
176,14.370604753494263,14816,audiodg.exe,0.53,9,60.359,0.37,4,0,11945,0
177,14.370604753494263,11020,pycharm64.exe,0.25,133,1787.055,11.1,315475,33155,1172518041,868517284
178,14.370604753494263,1940,svchost.exe,0.15,3,6.070,0.04,0,0,0,0
179,14.370604753494263,17792,chrome.exe,0.00,18,170.598,1.06,17904,20076,12996111,9432018
180,14.370604753494263,17740,chrome.exe,0.00,17,108.383,0.67,9555,6628,9616530,4019170
181,14.370604753494263,17540,chrome.exe,0.00,16,51.184,0.32,2915,2853,2554908,2274200
182,14.370604753494263,17252,chrome.exe,0.00,17,46.828,0.29,3807,433,1803540,162632
183,14.370604753494263,17208,chrome.exe,0.00,17,82.449,0.51,2315,3069,1389524,3370018
184,14.370604753494263,16816,WmiPrvSE.exe,0.00,10,18.605,0.12,1,0,10599,0
185,14.370604753494263,16480,CptHost.exe,0.00,9,33.816,0.21,177,0,11550709,0
186,14.370604753494263,16248,chrome.exe,0.00,17,94.961,0.59,13034,9453,8814619,5415710
187,14.370604753494263,16140,chrome.exe,0.00,16,59.086,0.37,1018,815,500748,156688
188,14.370604753494263,16008,chrome.exe,0.00,17,95.020,0.59,29996,33183,10995438,61057466
189,17.244728088378906,0,Total,32.62,8,0.008,0.0,0,0,0,0
190,17.244728088378906,4988,MsMpEng.exe,12.50,22,188.645,1.17,584193,10658,14341541200,420061775
191,17.244728088378906,18244,python.exe,9.49,17,88.973,0.55,1453,3,14682932,492
192,17.244728088378906,6508,Zoom.exe,2.65,76,360.059,2.24,4232,1601,69880307,215568
193,17.244728088378906,11020,pycharm64.exe,1.66,133,1787.055,11.1,315484,33158,1172518905,868532023
194,17.244728088378906,13512,svchost.exe,1.29,12,35.656,0.22,947,0,3882202,0
195,17.244728088378906,4672,SentinelAgent.exe,1.07,67,391.414,2.43,89650,397656,342653754,3871937856
196,17.244728088378906,1392,dwm.exe,0.65,15,115.910,0.72,146258,0,1534672,0
197,17.244728088378906,10532,ApplicationFrameHost.exe,0.41,3,31.438,0.2,9,0,21889,0
198,17.244728088378906,8692,powershell.exe,0.39,25,167.898,1.04,408,2,2724868,120
199,17.244728088378906,6952,svchost.exe,0.38,7,9.312,0.06,0,0,0,0
200,17.244728088378906,1248,svchost.exe,0.20,13,19.000,0.12,67,0,34304,0
201,17.244728088378906,4,System,0.19,265,13.520,0.08,1506,8424,229455803,562025519
202,17.244728088378906,17792,chrome.exe,0.00,18,170.598,1.06,17905,20077,12996679,9432786
203,17.244728088378906,17740,chrome.exe,0.00,17,108.383,0.67,9555,6628,9616530,4019170
204,17.244728088378906,17540,chrome.exe,0.00,16,51.184,0.32,2915,2853,2554908,2274200
205,17.244728088378906,17252,chrome.exe,0.00,17,46.828,0.29,3807,433,1803540,162632
206,17.244728088378906,17208,chrome.exe,0.00,17,82.449,0.51,2315,3069,1389524,3370018
207,17.244728088378906,16816,WmiPrvSE.exe,0.00,10,18.605,0.12,1,0,10599,0
208,17.244728088378906,16480,CptHost.exe,0.00,9,33.816,0.21,177,0,11550709,0
209,17.244728088378906,16248,chrome.exe,0.00,17,94.961,0.59,13034,9453,8814619,5415710
210,19.285991430282593,0,Total,29.30,8,0.008,0.0,0,0,0,0
211,19.285991430282593,4988,MsMpEng.exe,11.40,21,188.617,1.17,584460,10658,14341851938,420061775
212,19.285991430282593,18244,python.exe,9.36,17,88.984,0.55,1453,3,14682932,492
213,19.285991430282593,6508,Zoom.exe,2.27,76,360.066,2.24,4232,1602,69880307,215646
214,19.285991430282593,4672,SentinelAgent.exe,1.07,67,391.664,2.43,89650,397706,342653754,3872135087
215,19.285991430282593,4,System,0.53,265,13.520,0.08,1506,8428,229455803,562041903
216,19.285991430282593,14988,conhost.exe,0.42,3,17.977,0.11,0,0,0,0
217,19.285991430282593,1392,dwm.exe,0.28,15,114.309,0.71,146258,0,1534672,0
218,19.285991430282593,17792,chrome.exe,0.00,18,170.598,1.06,17905,20077,12996679,9432786
219,19.285991430282593,17740,chrome.exe,0.00,17,108.383,0.67,9555,6628,9616530,4019170
220,19.285991430282593,17540,chrome.exe,0.00,16,51.184,0.32,2915,2853,2554908,2274200
221,19.285991430282593,17252,chrome.exe,0.00,17,46.828,0.29,3807,433,1803540,162632
222,19.285991430282593,17208,chrome.exe,0.00,17,82.449,0.51,2315,3069,1389524,3370018
223,19.285991430282593,16816,WmiPrvSE.exe,0.00,10,18.609,0.12,1,0,10599,0
224,19.285991430282593,16480,CptHost.exe,0.00,9,33.816,0.21,177,0,11550709,0
225,19.285991430282593,16248,chrome.exe,0.00,17,94.961,0.59,13034,9453,8814619,5415710
226,19.285991430282593,16140,chrome.exe,0.00,16,59.086,0.37,1018,815,500748,156688
227,19.285991430282593,16008,chrome.exe,0.00,17,95.020,0.59,29996,33183,10995438,61057466
228,19.285991430282593,15896,svchost.exe,0.00,5,16.152,0.1,17,17,1828,2456
229,19.285991430282593,15872,msedge.exe,0.00,8,11.188,0.07,21,15,1424,180
230,19.285991430282593,15824,svchost.exe,0.00,4,11.750,0.07,1,0,4931,0
231,20.986470699310303,0,Total,30.85,8,0.008,0.0,0,0,0,0
232,20.986470699310303,4988,MsMpEng.exe,12.50,21,188.617,1.17,593080,10658,14341920898,420061775
233,20.986470699310303,18244,python.exe,9.36,17,89.000,0.55,1453,3,14682932,492
234,20.986470699310303,4,System,2.30,265,13.520,0.08,1506,8428,229455803,562041903
235,20.986470699310303,6508,Zoom.exe,1.84,76,360.070,2.24,4232,1602,69880307,215646
236,20.986470699310303,13512,svchost.exe,1.29,12,35.645,0.22,947,0,3882202,0
237,20.986470699310303,1392,dwm.exe,0.80,15,114.309,0.71,146258,0,1534672,0
238,20.986470699310303,14816,audiodg.exe,0.42,9,60.359,0.37,4,0,11945,0
239,20.986470699310303,14988,conhost.exe,0.41,3,17.977,0.11,0,0,0,0
240,20.986470699310303,17792,chrome.exe,0.00,18,170.602,1.06,17913,20085,12998127,9434714
241,20.986470699310303,17740,chrome.exe,0.00,17,108.383,0.67,9555,6628,9616530,4019170
242,20.986470699310303,17540,chrome.exe,0.00,16,51.184,0.32,2915,2853,2554908,2274200
243,20.986470699310303,17252,chrome.exe,0.00,17,46.828,0.29,3807,433,1803540,162632
244,20.986470699310303,17208,chrome.exe,0.00,17,82.445,0.51,2315,3069,1389524,3370018
245,20.986470699310303,16816,WmiPrvSE.exe,0.00,10,18.609,0.12,1,0,10599,0
246,20.986470699310303,16480,CptHost.exe,0.00,9,33.816,0.21,177,0,11550709,0
247,20.986470699310303,16248,chrome.exe,0.00,17,94.961,0.59,13034,9453,8814619,5415710
248,20.986470699310303,16140,chrome.exe,0.00,16,59.086,0.37,1018,815,500748,156688
249,20.986470699310303,16008,chrome.exe,0.00,17,95.020,0.59,29996,33183,10995438,61057466
250,20.986470699310303,15896,svchost.exe,0.00,5,16.152,0.1,17,17,1828,2456
251,20.986470699310303,15872,msedge.exe,0.00,8,11.188,0.07,21,15,1424,180
252,22.718017101287842,0,Total,32.03,8,0.008,0.0,0,0,0,0
253,22.718017101287842,4988,MsMpEng.exe,12.14,21,189.602,1.18,603712,10658,14342005954,420061775
254,22.718017101287842,18244,python.exe,9.84,17,89.012,0.55,1453,3,14682932,492
255,22.718017101287842,6508,Zoom.exe,1.89,76,359.871,2.23,4232,1603,69880307,215724
256,22.718017101287842,4,System,1.56,265,13.520,0.08,1506,8428,229455803,562041903
257,22.718017101287842,13512,svchost.exe,1.29,12,35.902,0.22,947,0,3882202,0
258,22.718017101287842,14988,conhost.exe,0.42,3,17.977,0.11,0,0,0,0
259,22.718017101287842,4460,OneApp.IGCC.WinService.exe,0.34,9,47.938,0.3,95,45,329423,32529
260,22.718017101287842,3808,WUDFHost.exe,0.33,10,11.680,0.07,39978,0,4261071,0
261,22.718017101287842,1392,dwm.exe,0.28,15,112.434,0.7,146258,0,1534672,0
262,22.718017101287842,17792,chrome.exe,0.00,18,170.602,1.06,17913,20085,12998127,9434714
263,22.718017101287842,17740,chrome.exe,0.00,17,108.383,0.67,9555,6628,9616530,4019170
264,22.718017101287842,17540,chrome.exe,0.00,16,51.184,0.32,2915,2853,2554908,2274200
265,22.718017101287842,17252,chrome.exe,0.00,17,46.828,0.29,3807,433,1803540,162632
266,22.718017101287842,17208,chrome.exe,0.00,17,82.445,0.51,2315,3069,1389524,3370018
267,22.718017101287842,16816,WmiPrvSE.exe,0.00,10,18.621,0.12,1,0,10599,0
268,22.718017101287842,16480,CptHost.exe,0.00,9,33.816,0.21,177,0,11550709,0
269,22.718017101287842,16248,chrome.exe,0.00,17,94.961,0.59,13034,9453,8814619,5415710
270,22.718017101287842,16140,chrome.exe,0.00,16,59.086,0.37,1018,815,500748,156688
271,22.718017101287842,16008,chrome.exe,0.00,17,95.020,0.59,29996,33183,10995438,61057466
